Phylum,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Actinobacteria,202,323,680,870,764,48,451,595,0,113,249,23,95,62,203,325,33,324,1687,140,835,197,0,229,7513,11,2498,815,272,802,48,2387,431,481,4,1826,6912,12,273,0,382,556,0,51,64,57,199,12,1155,0,80,18,0,104,0,46,1754,3490,872,590,5865,429,216,628,475,171,139,177,97
Bacteroidetes,652,4739,2517,6784,22427,1807,10661,10014,195,189,317,18003,32819,5244,15912,15663,5805,37356,6866,15970,24372,39920,0,37340,11017,0,9284,15835,5259,4349,34570,17076,14953,14213,0,79,4552,2906,24286,0,7715,9092,3978,11225,17050,27443,1531,9096,45925,6150,304,20,10388,7720,1683,12877,6407,3256,843,24798,15788,2088,3042,5205,2010,11839,8322,17634,18005
Cyanobacteria,0,0,14,0,0,0,21,47,0,0,0,0,0,0,31,9,0,0,0,0,0,148,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0
Euryarchaeota,192,0,0,455,94,7,0,0,0,0,0,35,0,0,0,0,0,0,157,0,738,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,502,0,240,0,26,23,0,0
Firmicutes,23478,43100,39864,38847,75921,8711,72278,66063,13897,36714,21953,25026,67884,25655,19990,9537,6107,44253,37979,28969,59540,46186,16282,12993,47944,25256,22090,20789,25946,24599,32111,27484,11026,20180,7876,32841,65694,3378,19309,11514,11287,22583,16920,16791,16276,4153,16174,51635,32750,1795,19407,5634,10313,9280,15936,11842,20029,25841,28461,93341,73784,50624,23185,24172,24720,17103,27913,27438,11729
Fusobacteria,0,0,0,0,0,0,0,0,28163,5205,43633,1148,662,50,102,684,5990,35,0,212,3,207,0,0,0,0,0,9,0,0,0,0,465,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,0,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,112,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
Proteobacteria,134,83,45,340,720,138,375,398,2150,1081,554,661,1821,1511,1167,2094,1021,871,414,820,1416,3163,622,3349,864,0,308,493,535,512,1963,607,867,281,3190,2059,1063,124,1886,1292,685,269,564,569,4043,2006,244,4403,1378,605,237,116,1589,359,327,606,384,694,191,2071,1911,510,94,258,38,194,595,409,240
Synergistetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,17,0,0,0,0,0,0,0,353,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,177,0,359,0,0,0,0,0,0,0,0
Tenericutes,5464,29,128,442,524,1013,11,18,0,0,0,0,0,0,0,0,0,57,13,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,57,38,0,121,16163,25,291,129,107,5404,16,40
Verrucomicrobia,1011,41,49,1154,653,202,0,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,15,10218,64,0,11475,1258,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,909,0,0
